somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,40-49,PIE,ITC1
16,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039801_CENTRO VACCINALE S. CROCE CN_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039801_CENTRO VACCINALE S. CROCE CN,40-49,PIE,ITC1
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,40-49,PIE,ITC1
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,40-49,PIE,ITC1
16,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00104101_CENTRO VACCINALE MAURIZIANO_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00104101_CENTRO VACCINALE MAURIZIANO,40-49,PIE,ITC1
5,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,40-49,PIE,ITC1
12,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,40-49,PIE,ITC1
5,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,40-49,PIE,ITC1
62,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00002601_CENTRO VACC. AMEDEO DI SAVOIA_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00002601_CENTRO VACC. AMEDEO DI SAVOIA,50-59,PIE,ITC1
18,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00003701_CENTRO VACC S G BOSCO_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00003701_CENTRO VACC S G BOSCO,50-59,PIE,ITC1
22,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,50-59,PIE,ITC1
33,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039801_CENTRO VACCINALE S. CROCE CN_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039801_CENTRO VACCINALE S. CROCE CN,50-59,PIE,ITC1
23,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,50-59,PIE,ITC1
21,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,50-59,PIE,ITC1
34,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00104101_CENTRO VACCINALE MAURIZIANO_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00104101_CENTRO VACCINALE MAURIZIANO,50-59,PIE,ITC1
6,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,50-59,PIE,ITC1
19,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,50-59,PIE,ITC1
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,50-59,PIE,ITC1
29,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00002601_CENTRO VACC. AMEDEO DI SAVOIA_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00002601_CENTRO VACC. AMEDEO DI SAVOIA,60-69,PIE,ITC1
9,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00003701_CENTRO VACC S G BOSCO_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00003701_CENTRO VACC S G BOSCO,60-69,PIE,ITC1
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,60-69,PIE,ITC1
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039801_CENTRO VACCINALE S. CROCE CN_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039801_CENTRO VACCINALE S. CROCE CN,60-69,PIE,ITC1
19,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,60-69,PIE,ITC1
16,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,60-69,PIE,ITC1
10,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00104101_CENTRO VACCINALE MAURIZIANO_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00104101_CENTRO VACCINALE MAURIZIANO,60-69,PIE,ITC1
4,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,60-69,PIE,ITC1
1,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,60-69,PIE,ITC1
3,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,60-69,PIE,ITC1
1,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_70-79,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,70-79,PIE,ITC1
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_20-29,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,20-29,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00002601_CENTRO VACC. AMEDEO DI SAVOIA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00002601_CENTRO VACC. AMEDEO DI SAVOIA,30-39,PIE,ITC1
3,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,30-39,PIE,ITC1
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,30-39,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00104101_CENTRO VACCINALE MAURIZIANO_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00104101_CENTRO VACCINALE MAURIZIANO,30-39,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,30-39,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00002601_CENTRO VACC. AMEDEO DI SAVOIA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00002601_CENTRO VACC. AMEDEO DI SAVOIA,40-49,PIE,ITC1
4,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,40-49,PIE,ITC1
6,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,40-49,PIE,ITC1
4,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,40-49,PIE,ITC1
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,40-49,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00002601_CENTRO VACC. AMEDEO DI SAVOIA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00002601_CENTRO VACC. AMEDEO DI SAVOIA,50-59,PIE,ITC1
3,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00003701_CENTRO VACC S G BOSCO_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00003701_CENTRO VACC S G BOSCO,50-59,PIE,ITC1
8,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,50-59,PIE,ITC1
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00039801_CENTRO VACCINALE S. CROCE CN_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00039801_CENTRO VACCINALE S. CROCE CN,50-59,PIE,ITC1
11,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,50-59,PIE,ITC1
6,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,50-59,PIE,ITC1
6,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00104101_CENTRO VACCINALE MAURIZIANO_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00104101_CENTRO VACCINALE MAURIZIANO,50-59,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,50-59,PIE,ITC1
1,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,50-59,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00003701_CENTRO VACC S G BOSCO_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00003701_CENTRO VACC S G BOSCO,60-69,PIE,ITC1
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,60-69,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00039901_CENTRO VACC. AOU ALESSANDRIA_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00039901_CENTRO VACC. AOU ALESSANDRIA,60-69,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00044801_CENTRO VACCINALE AOU NOVARA_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00044801_CENTRO VACCINALE AOU NOVARA,60-69,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_00104101_CENTRO VACCINALE MAURIZIANO_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,00104101_CENTRO VACCINALE MAURIZIANO,60-69,PIE,ITC1
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,60-69,PIE,ITC1
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,60-69,PIE,ITC1
2,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_40-49,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,40-49,PIE,ITC1
3,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_50-59,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,50-59,PIE,ITC1
7,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_60-69,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,60-69,PIE,ITC1
1,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_60-69,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,60-69,PIE,ITC1
1,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_60-69,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,60-69,PIE,ITC1
7,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_70-79,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,70-79,PIE,ITC1
6,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_70-79,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,70-79,PIE,ITC1
5,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_70-79,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,70-79,PIE,ITC1
5,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_80-89,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,80-89,PIE,ITC1
10,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_80-89,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,80-89,PIE,ITC1
9,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_80-89,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,80-89,PIE,ITC1
5,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57018901_CASA DI RIPOSO CITTÀ DI ASTI_90+,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57018901_CASA DI RIPOSO CITTÀ DI ASTI,90+,PIE,ITC1
9,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_57051401_CASA CURA LA RESIDENZA RODELLO_90+,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,57051401_CASA CURA LA RESIDENZA RODELLO,90+,PIE,ITC1
6,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_67068301_ISTITUTO GAUDENZIO DE PAGAVE_90+,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,67068301_ISTITUTO GAUDENZIO DE PAGAVE,90+,PIE,ITC1
6,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00037701_AMB. VACCINAZIONI P.O. ACQUI T_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00037701_AMB. VACCINAZIONI P.O. ACQUI T,20-29,PIE,ITC1
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00038101_AMB. VACCINAZIONI P.O. NOVI L_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00038101_AMB. VACCINAZIONI P.O. NOVI L,20-29,PIE,ITC1
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00038201_AMB. VACCINAZIONI P.O. OVADA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00038201_AMB. VACCINAZIONI P.O. OVADA,20-29,PIE,ITC1
98,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00038301_CENTRO VACC CITTÀ DELLA SALUTE_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00038301_CENTRO VACC CITTÀ DELLA SALUTE,20-29,PIE,ITC1
8,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00085501_AMB. VACCINAZIONI P.O CASALE M_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00085501_AMB. VACCINAZIONI P.O CASALE M,20-29,PIE,ITC1
5,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00103701_AMB. VACCINAZIONI P.O. TORTONA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00103701_AMB. VACCINAZIONI P.O. TORTONA,20-29,PIE,ITC1
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00003201_PRESIDIO OSPEDALIERO PONDERANO_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00003201_PRESIDIO OSPEDALIERO PONDERANO,30-39,PIE,ITC1
5,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00038101_AMB. VACCINAZIONI P.O. NOVI L_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00038101_AMB. VACCINAZIONI P.O. NOVI L,30-39,PIE,ITC1
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_00038201_AMB. VACCINAZIONI P.O. OVADA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,00038201_AMB. VACCINAZIONI P.O. OVADA,30-39,PIE,ITC1
