somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta
7,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,30-39
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,30-39
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,30-39
5,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,30-39
26,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,40-49
52,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,40-49
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,40-49
16,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,40-49
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,40-49
16,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,40-49
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,40-49
5,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,40-49
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,40-49
5,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,40-49
18,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,50-59
62,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,50-59
20,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,50-59
33,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,50-59
23,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,50-59
34,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,50-59
21,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,50-59
6,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,50-59
19,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,50-59
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_50-59,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,50-59
9,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,60-69
29,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,60-69
16,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,60-69
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,60-69
19,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,60-69
10,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,60-69
11,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,60-69
4,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,60-69
1,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,60-69
3,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_60-69,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,60-69
1,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_70-79,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,70-79
2,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_20-29,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,20-29
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,30-39
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,30-39
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,30-39
2,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,30-39
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,30-39
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_30-39,2 - Personale non Sanitario,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,30-39
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,40-49
4,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,40-49
1,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,40-49
5,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,40-49
4,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,40-49
1,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,40-49
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_40-49,2 - Personale non Sanitario,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,40-49
3,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,50-59
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,50-59
1,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,50-59
6,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,50-59
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,50-59
11,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,50-59
6,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,50-59
8,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,50-59
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_50-59,2 - Personale non Sanitario,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,50-59
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,60-69
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,60-69
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,60-69
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,60-69
2,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,60-69
1,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,60-69
1,Piemonte,TML_CAT_ALTRO,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,60-69
1,Piemonte,TML_CAT_PERSONALE,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_60-69,2 - Personale non Sanitario,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,60-69
2,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_40-49,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,40-49
3,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_50-59,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,50-59
7,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_60-69,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,60-69
1,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_60-69,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,60-69
1,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_60-69,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,60-69
7,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_70-79,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,70-79
6,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_70-79,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,70-79
5,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_70-79,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,70-79
5,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_80-89,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,80-89
10,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_80-89,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,80-89
9,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_80-89,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,80-89
5,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_90+,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,90+
9,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_90+,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,90+
6,Piemonte,TML_CAT_RSA_OSPITI,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_90+,3 - Ospiti Strutture Residenziali,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,90+
7,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 01_AMB. VACCINAZIONI P.O CASALE M_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 01_AMB. VACCINAZIONI P.O CASALE M,20-29
5,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 03_AMB. VACCINAZIONI P.O. TORTONA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 03_AMB. VACCINAZIONI P.O. TORTONA,20-29
1,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,20-29
6,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 05_AMB. VACCINAZIONI P.O. ACQUI T_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 05_AMB. VACCINAZIONI P.O. ACQUI T,20-29
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,20-29
97,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,20-29
4,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 01_AMB. VACCINAZIONI P.O CASALE M_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 01_AMB. VACCINAZIONI P.O CASALE M,30-39
5,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 03_AMB. VACCINAZIONI P.O. TORTONA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 03_AMB. VACCINAZIONI P.O. TORTONA,30-39
5,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 04_AMB. VACCINAZIONI P.O. NOVI L_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 04_AMB. VACCINAZIONI P.O. NOVI L,30-39
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010026 06_AMB. VACCINAZIONI P.O. OVADA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010026 06_AMB. VACCINAZIONI P.O. OVADA,30-39
2,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010032_PRESIDIO OSPEDALIERO PONDERANO_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010032_PRESIDIO OSPEDALIERO PONDERANO,30-39
83,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,30-39
5,Piemonte,TML_CAT_OSS,30/12/2020_PF/BT_PIE_010008 01_OSPEDALE CARDINAL MASSAIA ASTI_40-49,1 - Operatori Sanitari e Sociosanitari,01,2020-12-30,PF/BT,010008 01_OSPEDALE CARDINAL MASSAIA ASTI,40-49
