iss_date,NOME_NUTS2,CASI_CUMULATIVI
17/12/2020,Lazio,145553
17/12/2020,Liguria,56361
17/12/2020,Lombardia,449142
17/12/2020,Marche,34635
17/12/2020,Molise,5730
17/12/2020,Piemonte,186788
17/12/2020,Provincia Autonoma di Bolzano/Bozen,26642
17/12/2020,Provincia Autonoma di Trento,19089
17/12/2020,Puglia,76028
17/12/2020,Sardegna,23027
17/12/2020,Sicilia,80102
17/12/2020,Toscana,113367
17/12/2020,Umbria,27121
17/12/2020,Valle d'Aosta/Vallée d'Aoste,6988
17/12/2020,Veneto,205124
18/12/2020,Abruzzo,32807
18/12/2020,Basilicata,9589
18/12/2020,Calabria,21452
18/12/2020,Campania,174563
18/12/2020,Emilia-Romagna,150460
18/12/2020,Friuli-Venezia Giulia,35815
18/12/2020,Lazio,145553
18/12/2020,Liguria,56780
18/12/2020,Lombardia,454601
18/12/2020,Marche,34636
18/12/2020,Molise,5722
18/12/2020,Piemonte,186788
18/12/2020,Provincia Autonoma di Bolzano/Bozen,26664
18/12/2020,Provincia Autonoma di Trento,19553
18/12/2020,Puglia,77142
18/12/2020,Sardegna,23434
18/12/2020,Sicilia,80980
18/12/2020,Toscana,113911
18/12/2020,Umbria,27284
18/12/2020,Valle d'Aosta/Vallée d'Aoste,7008
18/12/2020,Veneto,209419
19/12/2020,Abruzzo,33037
19/12/2020,Basilicata,9647
19/12/2020,Calabria,21656
19/12/2020,Campania,174658
19/12/2020,Emilia-Romagna,152204
19/12/2020,Friuli-Venezia Giulia,35815
19/12/2020,Lazio,147802
19/12/2020,Liguria,57067
19/12/2020,Lombardia,456515
19/12/2020,Marche,34636
19/12/2020,Molise,5722
19/12/2020,Piemonte,189250
19/12/2020,Provincia Autonoma di Bolzano/Bozen,27150
19/12/2020,Provincia Autonoma di Trento,19803
19/12/2020,Puglia,78446
19/12/2020,Sardegna,23809
19/12/2020,Sicilia,81629
19/12/2020,Toscana,114467
19/12/2020,Umbria,27449
19/12/2020,Valle d'Aosta/Vallée d'Aoste,7011
19/12/2020,Veneto,213425
20/12/2020,Abruzzo,33194
20/12/2020,Basilicata,9725
20/12/2020,Calabria,21867
20/12/2020,Campania,175834
20/12/2020,Emilia-Romagna,153844
20/12/2020,Friuli-Venezia Giulia,35815
20/12/2020,Lazio,147802
20/12/2020,Liguria,57337
20/12/2020,Lombardia,458303
20/12/2020,Marche,34636
20/12/2020,Molise,6033
20/12/2020,Piemonte,189250
20/12/2020,Provincia Autonoma di Bolzano/Bozen,27287
20/12/2020,Provincia Autonoma di Trento,19986
20/12/2020,Puglia,79831
20/12/2020,Sardegna,23930
20/12/2020,Sicilia,82285
20/12/2020,Toscana,114991
20/12/2020,Umbria,27591
20/12/2020,Valle d'Aosta/Vallée d'Aoste,7065
20/12/2020,Veneto,216976
21/12/2020,Abruzzo,33475
21/12/2020,Basilicata,9763
21/12/2020,Calabria,22074
21/12/2020,Campania,177653
21/12/2020,Emilia-Romagna,155593
21/12/2020,Friuli-Venezia Giulia,35815
21/12/2020,Lazio,150994
21/12/2020,Liguria,57620
21/12/2020,Lombardia,469991
21/12/2020,Marche,36146
21/12/2020,Molise,6129
21/12/2020,Piemonte,191558
21/12/2020,Provincia Autonoma di Bolzano/Bozen,27551
21/12/2020,Provincia Autonoma di Trento,20094
21/12/2020,Puglia,80621
21/12/2020,Sardegna,24100
21/12/2020,Sicilia,83276
21/12/2020,Toscana,115433
21/12/2020,Umbria,27591
21/12/2020,Valle d'Aosta/Vallée d'Aoste,7078
21/12/2020,Veneto,219750
22/12/2020,Abruzzo,33479
22/12/2020,Basilicata,9864
22/12/2020,Calabria,22242
22/12/2020,Campania,178427
22/12/2020,Emilia-Romagna,157185
22/12/2020,Friuli-Venezia Giulia,37931
22/12/2020,Lazio,154361
22/12/2020,Liguria,57800
22/12/2020,Lombardia,469991
22/12/2020,Marche,36301
22/12/2020,Molise,6139
22/12/2020,Piemonte,186045
22/12/2020,Provincia Autonoma di Bolzano/Bozen,27583
22/12/2020,Provincia Autonoma di Trento,20152
22/12/2020,Puglia,82283
22/12/2020,Sardegna,24938
22/12/2020,Sicilia,84835
22/12/2020,Toscana,115735
22/12/2020,Umbria,27768
22/12/2020,Valle d'Aosta/Vallée d'Aoste,7096
22/12/2020,Veneto,222868
