FID,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,SHAPE_AREA,SHAPE_LEN,POSITIVI,DECEDUTI,TOTALE,Shape__Area,Shape__Length
"31","13","03016012",ARDESIO,BERGAMO,BG,LOMBARDIA,"54655498.2918759","43880.1928258453","22","5","27",113095051.687012,63103.2935482021
"32","14","03020060",SCHIVENOGLIA,MANTOVA,MN,LOMBARDIA,"13162773.6158007","18742.9345591166","26","3","29",26330826.6459961,26501.5927534516
"33","15","03015236",VERNATE,MILANO,MI,LOMBARDIA,"14676883.0547545","24400.4918110012","9","1","10",29708786.8364258,34716.3588208415
"34","16","03020017",CASTIGLIONE DELLE STIVIERE,MANTOVA,MN,LOMBARDIA,"42151025.6648023","31241.0710096586","144","3","147",85465262.043457,44496.1262591527
"35","17","03019110",TRIGOLO,CREMONA,CR,LOMBARDIA,"16160757.5023","25252.9399828687","15","6","21",32714972.3320313,35936.6028863218
"36","18","03015093",CORSICO,MILANO,MI,LOMBARDIA,"5378465.059671","17445.8787698447","42","7","49",10929784.3779297,24873.1571754783
"37","19","03012036",CASALE LITTA,VARESE,VA,LOMBARDIA,"10627642.7432315","17501.4198632142","3","0","3",21850766.581543,25102.0483146337
"38","20","03098026",FOMBIO,LODI,LO,LOMBARDIA,"7456740.34103851","19279.7435984742","20","10","30",14993904.6381836,27343.2782603111
"39","21","03018110",PAVIA,PAVIA,PV,LOMBARDIA,"63243395.5265115","47660.1104421055","202","31","233",127463024.316895,67649.3286938946
"40","22","03017168",SABBIO CHIESE,BRESCIA,BS,LOMBARDIA,"18348803.6495654","23006.5990187936","14","5","19",37554871.3842773,32919.2609540039
"41","23","03014077",VILLA DI CHIAVENNA,SONDRIO,SO,LOMBARDIA,"32682576.9749313","28471.9614741557","2","0","2",68556405.940918,41245.2723525704
"42","24","03108019",CESANO MADERNO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"11443883.5393736","21008.054654591","66","9","75",23416812.9384766,30038.8709321082
"43","25","03012081",GRANTOLA,VARESE,VA,LOMBARDIA,"2051912.55668932","10902.2159658858","1","0","1",4246588.90966797,15683.5526469037
"44","27","03014069",TRAONA,SONDRIO,SO,LOMBARDIA,"6252957.45605731","18284.9497712776","1","0","1",13035740.3320313,26403.9936518501
"45","28","03019032",CORTE DE` CORTESI CON CIGNONE,CREMONA,CR,LOMBARDIA,"12790951.135111","22413.7213640325","11","2","13",25837928.7080078,31852.2509627811
"46","52","03016037",BREMBATE,BERGAMO,BG,LOMBARDIA,"5629402.634132","14397.4954549447","36","11","47",11510036.9594727,20597.9296218515
"47","57","03018096",MONTECALVO VERSIGGIA,PAVIA,PV,LOMBARDIA,"11288952.9881965","21052.0121338396","1","2","3",22578346.4072266,29775.9467510152
"48","58","03016075",CISERANO,BERGAMO,BG,LOMBARDIA,"5295169.5372705","11504.8017746803","25","8","33",10817971.371582,16439.8137208144
"49","59","03018184",ZAVATTARELLO,PAVIA,PV,LOMBARDIA,"28352879.8613955","33022.552614761","10","9","19",56490265.4160156,46615.8684372931
"50","60","03098052",SECUGNAGO,LODI,LO,LOMBARDIA,"6697666.01880949","15960.6054625179","14","1","15",13513251.9785156,22671.7392034865
"51","64","03018090",MEZZANA BIGLI,PAVIA,PV,LOMBARDIA,"18726439.3957705","32088.3814197426","1","1","2",37568123.4306641,45447.2278004375
"52","65","03013084",CUCCIAGO,COMO,CO,LOMBARDIA,"4997406.38848281","11868.3237179454","2","1","3",10266227.3886719,17013.9406734949
"53","67","03015076",CESATE,MILANO,MI,LOMBARDIA,"5689489.3900725","15447.5594092088","30","3","33",11629035.6367188,22082.6011122511
"54","68","03015005",ALBAIRATE,MILANO,MI,LOMBARDIA,"14993957.920374","24654.6670796603","3","0","3",30457842.6577148,35144.165561409
"55","69","03019082",RIPALTA GUERINA,CREMONA,CR,LOMBARDIA,"2958530.4344555","8406.78319529591","2","0","2",5985006.48486328,11955.3625419124
"56","70","03020012",CASALROMANO,MANTOVA,MN,LOMBARDIA,"11886133.8115919","18837.8416872765","12","2","14",23949077.8374023,26731.8039392358
"57","71","03097051",MOLTENO,LECCO,LC,LOMBARDIA,"3162253.06214345","14161.262589563","7","1","8",6505933.40771484,20315.602659384
"58","61","03018043",CERANOVA,PAVIA,PV,LOMBARDIA,"5308955.43403501","13419.7266238928","3","2","5",10721761.2099609,19072.7919916253
"59","62","03016213",TERNO D`ISOLA,BERGAMO,BG,LOMBARDIA,"4100689.58800674","11073.7820962059","38","6","44",8407549.83203125,15853.0151307144
"60","63","03015101",DRESANO,MILANO,MI,LOMBARDIA,"3505876.12855051","9639.65654972042","11","3","14",7109741.91748047,13728.4891531332
"61","109","03017161",REZZATO,BRESCIA,BS,LOMBARDIA,"18283591.1806912","22539.5828862586","53","15","68",37242552.2866211,32175.4699045514
"62","72","03016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,"5227692.15080313","11697.6768372088","14","5","19",10706023.2387695,16747.3930856216
"63","73","03108004",ARCORE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"9354154.876633","20983.4550635854","55","9","64",19141258.1420898,30017.3252677925
"64","74","03020061",SERMIDE E FELONICA,MANTOVA,MN,LOMBARDIA,"80316061.4748956","55683.6303623864","52","10","62",160511450.360352,78698.7327220567
"65","75","03016136",MOIO DE` CALVI,BERGAMO,BG,LOMBARDIA,"6763698.39611921","12301.0579937956","1","1","2",14004799.2788086,17702.68197141
"66","76","03108009",BIASSONO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"4793865.66067604","16331.7804930497","32","2","34",9809667.89892578,23366.2902605535
"67","77","03017196",VEROLAVECCHIA,BRESCIA,BS,LOMBARDIA,"21054912.7945845","33160.4704881057","24","10","34",42601966.2138672,47177.9615310344
"68","78","03017031",CAINO,BRESCIA,BS,LOMBARDIA,"17255638.0415053","18220.9503885327","6","0","6",35285239.737793,26050.5598961806
"69","79","03097093",VALVARRONE,LECCO,LC,LOMBARDIA,"15103623.2696736","31078.8192227767","4","0","4",31410836.8139648,44820.4070129768
"70","80","03019115",VOLTIDO,CREMONA,CR,LOMBARDIA,"12289401.6651413","22154.9956561539","1","0","1",24685253.9365234,31400.2334425959
"71","81","03016123",LALLIO,BERGAMO,BG,LOMBARDIA,"2136121.58557311","8581.93290211056","21","2","23",4375954.40380859,12285.6543095955
"72","82","03019096",SOLAROLO RAINERIO,CREMONA,CR,LOMBARDIA,"11388672.5401374","24442.490644016","6","3","9",22847286.019043,34636.8147102651
"73","83","03013248",SAN SIRO,COMO,CO,LOMBARDIA,"21536046.0222696","23472.9182966886","8","1","9",44746887.4765625,33848.2036684141
"74","84","03018160",TORREVECCHIA PIA,PAVIA,PV,LOMBARDIA,"16434847.0185205","32088.460486507","4","1","5",33213803.765625,45623.2666634436
"75","85","03017135",PASPARDO,BRESCIA,BS,LOMBARDIA,"11216790.7262541","15603.2996388295","2","1","3",23287837.6801758,22478.450114577
"76","86","03020016",CASTELLUCCHIO,MANTOVA,MN,LOMBARDIA,"46551388.0510464","34150.1429658947","8","1","9",93621842.9291992,48424.9302868873
"77","87","03097042",LECCO,LECCO,LC,LOMBARDIA,"45249051.9751714","36925.566337308","192","28","220",93345805.1220703,53046.3560080652
"78","88","03017152",PRALBOINO,BRESCIA,BS,LOMBARDIA,"17229850.6251356","21613.6675397826","15","2","17",34798756.6860352,30720.2854300611
"79","89","03018007",BAGNARIA,PAVIA,PV,LOMBARDIA,"16572521.391769","22899.8599190573","1","0","1",32972257.078125,32297.1781916903
"80","90","03020045",PORTO MANTOVANO,MANTOVA,MN,LOMBARDIA,"37478660.1699841","43870.0599328736","24","2","26",75486126.4438477,62259.6631789362
"81","91","03016248",ALGUA,BERGAMO,BG,LOMBARDIA,"8303301.87651186","20255.7717739771","4","0","4",17104054.1191406,29072.3938878005
"82","92","03017029",BRESCIA,BRESCIA,BS,LOMBARDIA,"90514892.9365423","57489.9796238646","1039","209","1248",184543529.438965,82096.6309313695
"83","93","03016008",ALZANO LOMBARDO,BERGAMO,BG,LOMBARDIA,"13605101.5549765","22188.5365292008","118","54","172",27959956.0268555,31813.5516776029
"84","94","03012125",TAINO,VARESE,VA,LOMBARDIA,"7766593.42016543","13654.4211964256","1","0","1",15967837.7270508,19582.5595182057
"85","95","03017090",LODRINO,BRESCIA,BS,LOMBARDIA,"16465031.7665164","21032.8765568252","8","2","10",33785584.4018555,30131.8327871368
"86","96","03012136",VENEGONO INFERIORE,VARESE,VA,LOMBARDIA,"5792348.73529929","17618.3279609279","7","0","7",11898279.6245117,25252.7354510018
"87","98","03098010",CASALPUSTERLENGO,LODI,LO,LOMBARDIA,"25603519.9183046","32307.2410068871","137","34","171",51594850.684082,45866.6379611941
"88","99","03016139",MONTELLO,BERGAMO,BG,LOMBARDIA,"1773815.68221559","6721.60091408604","18","8","26",3634889.85351563,9616.2235918009
"89","100","03017093",LONGHENA,BRESCIA,BS,LOMBARDIA,"3411555.5077185","9799.54008733013","7","1","8",6932034.01611328,13971.1865209912
"90","101","03016184",RONCOBELLO,BERGAMO,BG,LOMBARDIA,"25226789.8171068","23760.2103967228","1","0","1",52215762.7695313,34178.9995629451
"91","102","03019055",MADIGNANO,CREMONA,CR,LOMBARDIA,"10763141.9316495","17557.4426023449","18","6","24",21796791.6884766,24983.6863709349
"92","103","03017073",GAMBARA,BRESCIA,BS,LOMBARDIA,"31589988.9825544","33071.1861328382","25","0","25",63785296.1435547,46992.161453791
"93","104","03098040",MONTANASO LOMBARDO,LODI,LO,LOMBARDIA,"9632745.468732","18579.2298660133","14","1","15",19507751.1855469,26436.1450912968
"94","105","03017111",MONTE ISOLA,BRESCIA,BS,LOMBARDIA,"11131314.8906241","12527.4203121871","12","0","12",22838527.2211914,17949.9702994447
"95","106","03012027",CADEGLIANO - VICONAGO,VARESE,VA,LOMBARDIA,"9993051.76794283","17292.3402963245","3","0","3",20696744.0019531,24885.797858944
"96","108","03019010",CAMISANO,CREMONA,CR,LOMBARDIA,"10821062.05065","19037.8756076972","10","2","12",21997415.7539063,27151.2380140632
"97","49","03018175",VERRUA PO,PAVIA,PV,LOMBARDIA,"10978771.102384","18482.2017952971","3","3","6",22059419.722168,26204.9113284063
"98","50","03017026",BRANDICO,BRESCIA,BS,LOMBARDIA,"8452304.8516825","16501.2481527601","8","2","10",17185949.2910156,23533.8381103035
"99","51","03012002",ALBIZZATE,VARESE,VA,LOMBARDIA,"3867477.71540901","11210.0011566385","3","1","4",7941138.97900391,16069.3314965239
"100","54","03016094",ENTRATICO,BERGAMO,BG,LOMBARDIA,"4189149.93995478","9762.30677968855","8","2","10",8593617.63964844,13982.6923044918
"101","55","03017066",DELLO,BRESCIA,BS,LOMBARDIA,"23447134.3111208","32134.803459365","37","4","41",47611046.1318359,45797.1996076417
"102","56","03017189",TREMOSINE SUL GARDA,BRESCIA,BS,LOMBARDIA,"72844983.5838466","42147.7268277579","1","2","3",149893440.626953,60454.7481947916
"103","110","03016010",ANTEGNATE,BERGAMO,BG,LOMBARDIA,"9637220.81988251","19434.7189551968","7","4","11",19620321.3427734,27727.6089434059
"104","111","03098030",LIVRAGA,LODI,LO,LOMBARDIA,"12157372.903381","23586.584547359","17","7","24",24492564.8867188,33473.8361743686
"105","112","03108044",USMATE VELATE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"9671983.44341577","20458.7515715538","15","3","18",19807675.440918,29280.4548128497
"106","113","03014043",MESE,SONDRIO,SO,LOMBARDIA,"4163367.5357664","12038.187652387","2","0","2",8729271.66601563,17432.4559752554
"107","114","03013074",COLONNO,COMO,CO,LOMBARDIA,"5981723.64226652","14449.7385115671","1","1","2",12386266.2646484,20801.530841372
"108","115","03098005",BORGO SAN GIOVANNI,LODI,LO,LOMBARDIA,"7643551.71466251","18942.4497933469","12","0","12",15446149.2670898,26930.9754776181
"109","116","03014037",LIVIGNO,SONDRIO,SO,LOMBARDIA,"210667872.942416","74617.7956031344","15","2","17",445031893.711426,108475.518962902
"110","117","03017099",MAIRANO,BRESCIA,BS,LOMBARDIA,"11582609.1752202","21773.7282960633","13","2","15",23551781.4165039,31065.5067982933
"111","158","03016232",VERDELLINO,BERGAMO,BG,LOMBARDIA,"3833384.446813","10899.3212433782","38","11","49",7836265.1953125,15585.5916207088
"112","160","03017109",MONIGA DEL GARDA,BRESCIA,BS,LOMBARDIA,"15858933.0673171","23883.6637864785","11","4","15",32320962.2416992,34065.9528867132
"113","165","03018156",TORRE BERETTI E CASTELLARO,PAVIA,PV,LOMBARDIA,"17435129.2782065","26578.9368337496","2","1","3",34986225.6660156,37652.6509506473
"114","166","03013154",MONTANO LUCINO,COMO,CO,LOMBARDIA,"5250958.75014725","13157.4815294174","9","0","9",10806926.8925781,18877.2581063054
"115","167","03097083",VALMADRERA,LECCO,LC,LOMBARDIA,"12319558.8244076","16661.2386494228","29","5","34",25409515.5566406,23924.7305600857
"116","169","03016149",ONORE,BERGAMO,BG,LOMBARDIA,"11764123.9366708","17996.0959624894","9","2","11",24292031.262207,25863.7841168217
"117","171","03016080",COLZATE,BERGAMO,BG,LOMBARDIA,"6682781.8511047","21266.7830291979","13","5","18",13773513.4399414,30532.9021468727
"118","172","03013137",LURAGO MARINONE,COMO,CO,LOMBARDIA,"3852042.40774944","11190.7598069897","2","0","2",7903454.46044922,16031.4722153838
"119","173","03017123",OME,BRESCIA,BS,LOMBARDIA,"9885260.9876062","15834.8106651319","24","4","28",20224493.5249023,22656.5414113118
"120","118","03017008",AZZANO MELLA,BRESCIA,BS,LOMBARDIA,"10494118.619506","23781.8660273352","15","4","19",21345405.5878906,33936.4704627084
"121","119","03016002",ADRARA SAN ROCCO,BERGAMO,BG,LOMBARDIA,"9337403.0980046","16693.6192125493","1","0","1",19169829.0581055,23926.8757116233
"122","120","03014009",BORMIO,SONDRIO,SO,LOMBARDIA,"41722887.8401973","43774.0901719418","17","5","22",88061562.9072266,63590.5200679503
"123","121","03097026",COSTA MASNAGA,LECCO,LC,LOMBARDIA,"5520698.43729515","18704.124316367","17","6","23",11352174.2709961,26818.4963713678
"124","122","03016196",SEDRINA,BERGAMO,BG,LOMBARDIA,"5930730.92934068","11572.1305939733","15","9","24",12198248.0864258,16592.5683412537
"125","123","03012090",LONATE POZZOLO,VARESE,VA,LOMBARDIA,"28897927.6198232","29910.2459295449","11","0","11",59049730.7773438,42754.0361832394
"126","125","03017034",CALVISANO,BRESCIA,BS,LOMBARDIA,"45037193.1208742","35825.909570644","34","13","47",91238124.878418,50998.4471240312
"127","127","03020070",VOLTA MANTOVANA,MANTOVA,MN,LOMBARDIA,"50212622.6807036","36161.9442144975","54","1","55",101570869.613281,51428.7393235262
"128","128","03016113",GHISALBA,BERGAMO,BG,LOMBARDIA,"10578863.049345","15700.8540215755","18","7","25",21618469.1689453,22444.7248056934
"129","129","03016237",VIGOLO,BERGAMO,BG,LOMBARDIA,"12278219.3119831","17022.9707086419","7","3","10",25202538.9013672,24391.2027903675
"130","130","03108010",BOVISIO MASCIAGO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"5002715.61504366","19510.5242002166","23","2","25",10230727.1005859,27893.1339965119
"131","131","03018034",CASORATE PRIMO,PAVIA,PV,LOMBARDIA,"9525712.5010865","22620.9111337063","13","0","13",19271730.0791016,32181.5488810821
"132","134","03020044",PONTI SUL MINCIO,MANTOVA,MN,LOMBARDIA,"11850097.595574","17033.7048400658","3","0","3",24052072.4370117,24266.8807824162
"133","135","03097052",MONTE MARENZO,LECCO,LC,LOMBARDIA,"3059316.88696303","9127.46232972017","3","1","4",6291341.91796875,13092.0353892697
"134","136","03097061",OSNAGO,LECCO,LC,LOMBARDIA,"4426427.69691807","17762.3843925759","18","1","19",9072916.32958984,25435.2745736548
"135","137","03016219",TREVIGLIO,BERGAMO,BG,LOMBARDIA,"32234030.5498155","33602.8843879789","141","31","172",65725866.9291992,47980.6887675648
"136","138","03013022",BEREGAZZO CON FIGLIARO,COMO,CO,LOMBARDIA,"3799166.72250182","13396.4773833847","3","0","3",7813783.57226563,19212.8675404573
"137","139","03013110",GRANDATE,COMO,CO,LOMBARDIA,"2781759.05064404","8827.08098534154","7","4","11",5721266.37988281,12660.0757426465
"138","140","03016049",CANONICA D`ADDA,BERGAMO,BG,LOMBARDIA,"3115619.1718025","12154.8117856754","19","1","20",6363135.10351563,17379.5041393808
"139","141","03017015",BERLINGO,BRESCIA,BS,LOMBARDIA,"4598019.846822","12137.6216067637","12","4","16",9366388.73779297,17329.1520707024
"140","142","03015140",MELEGNANO,MILANO,MI,LOMBARDIA,"4953564.0959885","14673.9765611456","42","13","55",10038702.2705078,20889.1135818855
"141","143","03019040",DEROVERE,CREMONA,CR,LOMBARDIA,"9917950.29841716","18116.7567539083","1","0","1",19924437.0722656,25677.0053291822
"142","144","03017178",SERLE,BRESCIA,BS,LOMBARDIA,"18564293.6841372","21161.4148762728","25","0","25",37909073.965332,30239.7513882452
"143","145","03098045",PIEVE FISSIRAGA,LODI,LO,LOMBARDIA,"12085928.1221315","24205.0937006698","7","3","10",24416039.1777344,34411.8681057325
"144","146","03015201",SAN VITTORE OLONA,MILANO,MI,LOMBARDIA,"3170977.6324715","10320.8443900124","30","0","30",6477922.96875,14750.3543039588
"145","147","03013128",LIMIDO COMASCO,COMO,CO,LOMBARDIA,"4469266.15474133","15437.0322468832","2","0","2",9164098.84619141,22109.9754744218
"146","148","03013065",CERNOBBIO,COMO,CO,LOMBARDIA,"11773420.577489","18231.1321177513","7","2","9",24286533.9008789,26189.1944152382
"147","149","03020073",BORGOCARBONARA,MANTOVA,MN,LOMBARDIA,"30599374.4679639","30941.7763569058","4","1","5",61271906.3129883,43770.4298331681
"148","152","03013143",MARIANO COMENSE,COMO,CO,LOMBARDIA,"13795696.9991607","26489.2876882423","44","4","48",28298364.0292969,37949.103072931
"149","153","03018077",INVERNO E MONTELEONE,PAVIA,PV,LOMBARDIA,"9843758.764742","22777.4452577633","6","0","6",19836203.9526367,32334.0992858699
"150","154","03013253",ALTA VALLE INTELVI,COMO,CO,LOMBARDIA,"25251219.6422142","26070.1407551554","2","0","2",52313074.9130859,37524.9047469178
"151","159","03019093",SCANDOLARA RIPA D`OGLIO,CREMONA,CR,LOMBARDIA,"5690410.44451151","12204.2055887584","8","1","9",11477839.9658203,17336.4282706189
"152","161","03015082",COLTURANO,MILANO,MI,LOMBARDIA,"4213980.3747015","12086.9854851079","3","1","4",8547328.60742188,17212.9212008747
"153","162","03017007",ARTOGNE,BRESCIA,BS,LOMBARDIA,"20925489.4629319","23953.2408553647","27","2","29",43130391.7714844,34378.3933004333
"154","163","03016179",RANZANICO,BERGAMO,BG,LOMBARDIA,"7256826.22213701","12818.8130646158","14","1","15",14933047.0703125,18391.502190249
"155","156","03013043",CAPIAGO INTIMIANO,COMO,CO,LOMBARDIA,"5764649.20359579","15343.3917446844","7","0","7",11855265.4291992,21997.9847144982
"156","157","03019089",SAN DANIELE PO,CREMONA,CR,LOMBARDIA,"22682045.3834573","22273.0839739544","13","1","14",45477867.9467773,31537.1535855861
"157","180","03016239",VILLA D`ALME`,BERGAMO,BG,LOMBARDIA,"6342259.6523512","12515.3761915083","49","15","64",13034501.8198242,17941.8393204059
"158","181","03017176",SELLERO,BRESCIA,BS,LOMBARDIA,"13989085.0689654","16329.4441797017","7","1","8",29067725.4589844,23540.8643145251
"159","182","03013203",SALA COMACINA,COMO,CO,LOMBARDIA,"4974457.4175468","12321.0652393822","10","4","14",10303307.4692383,17738.0029701691
"160","183","03016201",SONGAVAZZO,BERGAMO,BG,LOMBARDIA,"13109345.4473866","26678.1190810691","12","2","14",27054134.4150391,38320.3566425055
"161","184","03018189",ZERBOLO`,PAVIA,PV,LOMBARDIA,"37466871.7941005","40421.1078386215","1","0","1",75555150.2768555,57401.5034404585
"162","185","03097033",ELLO,LECCO,LC,LOMBARDIA,"2384893.99237516","8898.89676119035","4","1","5",4906744.77001953,12766.1995215668
"163","186","03016034",BOTTANUCO,BERGAMO,BG,LOMBARDIA,"5859795.56897843","11984.3026416505","18","5","23",11994477.3642578,17142.8127028963
"164","187","03018087",MARZANO,PAVIA,PV,LOMBARDIA,"9298854.28455401","20748.604343971","6","0","6",18774173.293457,29485.3725719715
"165","188","03018040",CASTELNOVETTO,PAVIA,PV,LOMBARDIA,"18534765.7487465","31636.0724901401","1","0","1",37433972.171875,44963.9541261182
"166","189","03015169",PAULLO,MILANO,MI,LOMBARDIA,"8973657.038684","22365.9819712659","39","9","48",18224753.96875,31880.247584179
"167","190","03013234",VALSOLDA,COMO,CO,LOMBARDIA,"31340997.4589895","27477.5434662489","3","0","3",65068748.0869141,39592.9808240225
"168","191","03016174",PREDORE,BERGAMO,BG,LOMBARDIA,"12077903.4844565","15204.4456265735","14","7","21",24759011.7412109,21761.3336435878
"169","192","03017179",SIRMIONE,BRESCIA,BS,LOMBARDIA,"29393762.9535309","24468.5957469288","30","5","35",59808871.5229492,34914.3172937738
"170","193","03019094",SERGNANO,CREMONA,CR,LOMBARDIA,"12481549.6576462","23469.7667379356","46","5","51",25361130.7680664,33456.731216926
"171","194","03018107",PALESTRO,PAVIA,PV,LOMBARDIA,"18711101.533571","24261.184187843","1","0","1",37836872.6811523,34501.6888893962
"172","196","03016119",GRONE,BERGAMO,BG,LOMBARDIA,"7792278.96098489","12748.3912097662","6","2","8",16000721.125,18265.5878400341
"173","197","03019027",CASTELVISCONTI,CREMONA,CR,LOMBARDIA,"9889678.29144449","15137.7152593052","1","0","1",20001872.3383789,21531.1026169651
"174","198","03018155",TORRAZZA COSTE,PAVIA,PV,LOMBARDIA,"16244618.5674355","23435.6328462516","4","5","9",32471312.0151367,33143.8131513802
"175","199","03098039",MERLINO,LODI,LO,LOMBARDIA,"10898554.365792","23931.7531668788","3","0","3",22144650.2036133,34116.7492371844
"176","200","03019053",ISOLA DOVARESE,CREMONA,CR,LOMBARDIA,"9471727.88889698","17084.1300563066","8","1","9",19066214.168457,24238.5681195099
"177","201","03019009",CALVATONE,CREMONA,CR,LOMBARDIA,"13542773.219849","21484.0785196617","10","1","11",27222069.0625,30456.0395639727
"178","202","03018009",BASCAPE`,PAVIA,PV,LOMBARDIA,"13200445.303617","33354.6010823109","6","0","6",26702601.0473633,47440.3156287799
"179","203","03018150",SIZIANO,PAVIA,PV,LOMBARDIA,"11995773.6560595","26637.86461408","12","5","17",24273413.7075195,37895.1904766972
"180","204","03017162",ROCCAFRANCA,BRESCIA,BS,LOMBARDIA,"19543271.1254491","30433.9317092154","24","8","32",39739481.9355469,43403.4190742827
"181","205","03016074",CISANO BERGAMASCO,BERGAMO,BG,LOMBARDIA,"7680085.67741829","16110.9564594786","25","11","36",15781742.1201172,23096.5474592804
"182","206","03018060",CURA CARPIGNANO,PAVIA,PV,LOMBARDIA,"10855898.830046","30008.7872447271","14","4","18",21885714.9814453,42609.6434098161
"183","207","03098025",CRESPIATICA,LODI,LO,LOMBARDIA,"7051393.919284","14449.895955066","4","4","8",14285538.5419922,20570.5153111803
